x,Curve1
-4.01406,0.027556
-3.61233,0.038148
-3.21944,0.059292
-2.80866,0.085308
-2.40671,0.121877
-2.00466,0.169
-1.61141,0.230733
-1.20021,0.303022
-0.79789,0.381804
-0.39568,0.446786
-0.01172,0.467118
0.38972,0.446049
0.79969,0.381144
1.19169,0.302438
1.59269,0.231038
1.98484,0.169379
2.39497,0.122333
2.78735,0.08584
3.18875,0.059901
3.59913,0.041268
3.98278,0.026693
