x,Curve1
10.25686,12.265
10.32761,11.853
10.39742,12.988
10.45753,13.23
10.52824,13.948
10.59539,15.262
10.62723,14.966
10.66704,14.314
10.69887,14.434
10.72809,13.127
10.76879,12.593
10.79803,10.571
10.82724,9.859
10.85558,8.491
10.91308,7.781
10.92811,7.781
10.96528,6.653
10.98565,5.702
11.00779,4.691
11.01579,3.56
11.04854,2.431
11.1175,2.733
11.19882,3.393
