x,Curve1
10.25868,10.394
10.32885,10.435
10.39906,11.664
10.45801,11.515
10.52749,11.841
10.59837,12.072
10.62926,12.45
10.66716,12.494
10.69874,12.586
10.72752,12.726
10.76963,13.244
10.7963,13.147
10.82928,13.144
10.85664,12.713
10.91765,11.329
10.9317,11.803
10.96532,9.471
10.98777,9.231
11.00882,9.182
11.01792,8.325
11.04949,8.227
11.11608,5.227
11.19958,5.171
